"Neighbourhood","Ward","City","FID"
"Platt","10","Fredericton","700"
"Platt","11","Fredericton","701"
"Platt","11","Fredericton","702"
"Platt","10","Fredericton","703"
"Downtown","11","Fredericton","704"
"Downtown","10","Fredericton","705"
"Downtown","11","Fredericton","706"
"Downtown","10","Fredericton","707"
"Downtown","10","Fredericton","708"
"Downtown","11","Fredericton","709"
"Downtown","10","Fredericton","710"
"Downtown","10","Fredericton","711"
"Downtown","10","Fredericton","712"
"Downtown","10","Fredericton","713"
"Downtown","10","Fredericton","714"
"Downtown","10","Fredericton","715"
"Downtown","10","Fredericton","716"
"Downtown","10","Fredericton","717"
"Downtown","10","Fredericton","718"
"Downtown","10","Fredericton","719"
"Downtown","11","Fredericton","720"
"Downtown","10","Fredericton","721"
"Downtown","10","Fredericton","722"
"Downtown","10","Fredericton","723"
"Downtown","10","Fredericton","724"
"Platt","10","Fredericton","725"
"Platt","11","Fredericton","726"
"Platt","10","Fredericton","727"
"Platt","10","Fredericton","728"
"Platt","11","Fredericton","729"
"Platt","11","Fredericton","730"
"Platt","10","Fredericton","731"
"Platt","10","Fredericton","732"
"Platt","11","Fredericton","733"
"Platt","10","Fredericton","734"
"Platt","11","Fredericton","735"
"Platt","11","Fredericton","736"
"Platt","11","Fredericton","737"
"Platt","10","Fredericton","738"
"Platt","10","Fredericton","739"
"Platt","11","Fredericton","740"
"Platt","10","Fredericton","741"
"Platt","11","Fredericton","742"
"Platt","10","Fredericton","743"
"Platt","10","Fredericton","744"
"Platt","10","Fredericton","745"
"Platt","10","Fredericton","746"
"Platt","10","Fredericton","747"
"Platt","11","Fredericton","748"
"Platt","10","Fredericton","749"
"Platt","10","Fredericton","750"
"Platt","0","Fredericton","751"
"Platt","10","Fredericton","752"
"Golf Club","12","Fredericton","753"
"Kelly's Court Minihome Park","12","Fredericton","754"
"Woodstock Road","12","Fredericton","755"
"Woodstock Road","12","Fredericton","756"
"Woodstock Road","12","Fredericton","757"
"Woodstock Road","12","Fredericton","758"
"Woodstock Road","12","Fredericton","759"
"Woodstock Road","12","Fredericton","760"
"Woodstock Road","12","Fredericton","761"
"Woodstock Road","12","Fredericton","762"
"Woodstock Road","12","Fredericton","763"
"Woodstock Road","12","Fredericton","764"
"Woodstock Road","12","Fredericton","765"
